"iata","lon","lat","iso","name","continent","type","size","timezone","icao","city","country"
"WTE","169.86667","11.233333","MH","Wotje Atoll Airport","OC","airport","small","12","N36","Wotje Atoll","Marshall Islands"
"WJA","169.86667","11.233333","MH","Woja Airport","OC","airport","small","12","","Majuro Atoll","Marshall Islands"
"UIT","169.86667","11.233333","MH","Jaluit Airport","OC","airport","small","12","N55","Jabor Jaluit Atoll","Marshall Islands"
"RNP","169.86667","11.233333","MH","Rongelap Island Airport","OC","airport","small","12","","Rongelap Island","Marshall Islands"
"NDK","169.86667","11.233333","MH","Namorik Atoll Airport","OC","airport","small","12","3N0","Namorik Atoll","Marshall Islands"
"MJE","169.86667","11.233333","MH","Majkin Airport","OC","airport","small","12","","Majkin","Marshall Islands"
"MJB","169.86667","11.233333","MH","Mejit Atoll Airport","OC","airport","small","12","Q30","Mejit Atoll","Marshall Islands"
"MAV","169.86667","11.233333","MH","Maloelap Island Airport","OC","airport","small","12","","Maloelap Island","Marshall Islands"
"LIK","169.86667","11.233333","MH","Likiep Airport","OC","airport","small","12","","Likiep Island","Marshall Islands"
"KBT","169.86667","11.233333","MH","Kaben Airport","OC","airport","small","12","","Kaben","Marshall Islands"
"JEJ","169.86667","11.233333","MH","Jeh Airport","OC","airport","small","12","","Ailinglapalap Atoll","Marshall Islands"
"JAT","169.86667","11.233333","MH","Jabot Airport","OC","airport","small","12","","Ailinglapalap Atoll","Marshall Islands"
"BII","169.86667","11.233333","MH","Enyu Airfield","OC","airport","small","12","","Bikini Atoll","Marshall Islands"
"AUL","169.86667","11.233333","MH","Aur Island Airport","OC","airport","small","12","","Aur Atoll","Marshall Islands"
"AIM","169.86667","11.233333","MH","Ailuk Airport","OC","airport","small","12","","Ailuk Island","Marshall Islands"
"UTK","169.86667","11.233333","MH","Utirik Airport","OC","airport","small","12","03N","Utirik Island","Marshall Islands"
"AAZ","169.86667","11.233333","MH","Quezaltenango Airport","OC","airport","small","-6","MGQZ","Quezaltenango","Guatemala"
"PBR","169.86667","11.233333","MH","Puerto Barrios Airport","OC","airport","small","-6","MGPB","Puerto Barrios","Guatemala"
"JBQ","169.86667","11.233333","MH","Dr Joaquin Balaguer International Airport","OC","airport","small","-4","MDJB","La Isabela","Dominican Republic"
